Nombre,Tamaño,Tiempo,Iteraciones,ValorH
Genetic Algorithm,8,0.4966390132904053,1000,1
Genetic Algorithm,8,0.49326658248901367,1000,0
Genetic Algorithm,8,0.49677515029907227,1000,0
Genetic Algorithm,8,0.5635542869567871,1000,1
Genetic Algorithm,8,0.499300479888916,1000,1
Genetic Algorithm,8,0.4983243942260742,1000,1
Genetic Algorithm,8,0.4907054901123047,1000,1
Genetic Algorithm,8,0.4924328327178955,1000,0
Genetic Algorithm,8,0.49660491943359375,1000,0
Genetic Algorithm,8,0.4997286796569824,1000,0
Genetic Algorithm,8,0.4984769821166992,1000,0
Genetic Algorithm,8,0.4948740005493164,1000,0
Genetic Algorithm,8,0.4958353042602539,1000,0
Genetic Algorithm,8,0.4972500801086426,1000,0
Hill Climbing,10,0.29126501083374023,10000,2
Hill Climbing,10,0.21818971633911133,10000,1
Hill Climbing,10,0.2101118564605713,10000,1
Hill Climbing,10,0.20223093032836914,10000,2
Hill Climbing,10,0.17710399627685547,10000,1
Hill Climbing,10,0.1644575595855713,10000,2
Hill Climbing,10,0.16634583473205566,10000,1
Hill Climbing,10,0.16399812698364258,10000,2
Hill Climbing,10,0.16416430473327637,10000,1
Hill Climbing,10,0.1678025722503662,10000,1
Hill Climbing,10,0.1684715747833252,10000,2
Hill Climbing,10,0.16416263580322266,10000,2
Hill Climbing,10,0.16447782516479492,10000,3
Hill Climbing,10,0.16487360000610352,10000,2
Hill Climbing,10,0.16366934776306152,10000,1
Hill Climbing,10,0.16695165634155273,10000,1
Hill Climbing,10,0.16747331619262695,10000,1
Hill Climbing,10,0.1644911766052246,10000,3
Hill Climbing,10,0.2554759979248047,10000,2
Hill Climbing,10,0.18898391723632812,10000,2
Hill Climbing,10,0.1654970645904541,10000,1
Hill Climbing,10,0.16492581367492676,10000,1
Hill Climbing,10,0.1646885871887207,10000,1
Hill Climbing,10,0.16416406631469727,10000,2
Hill Climbing,10,0.17073965072631836,10000,2
Hill Climbing,10,0.16434741020202637,10000,2
Hill Climbing,10,0.1653287410736084,10000,2
Hill Climbing,10,0.16450881958007812,10000,1
Hill Climbing,10,0.17119693756103516,10000,3
Hill Climbing,10,0.23931407928466797,10000,3
Simulated Annealing,10,0.02452564239501953,767,0
Simulated Annealing,10,0.018035411834716797,783,0
Simulated Annealing,10,0.0124969482421875,672,0
Simulated Annealing,10,0.026434659957885742,1212,0
Simulated Annealing,10,0.033380746841430664,1778,0
Simulated Annealing,10,0.02656841278076172,1602,0
Simulated Annealing,10,0.050051212310791016,2825,0
Simulated Annealing,10,0.014746904373168945,900,0
Simulated Annealing,10,0.060985565185546875,3702,0
Simulated Annealing,10,0.020086288452148438,1023,0
Simulated Annealing,10,0.020677566528320312,1106,0
Simulated Annealing,10,0.1727449893951416,10000,1
Simulated Annealing,10,0.020114898681640625,1227,0
Simulated Annealing,10,0.0718221664428711,4337,0
Simulated Annealing,10,0.008015155792236328,488,0
Simulated Annealing,10,0.029826879501342773,1811,0
Simulated Annealing,10,0.01475214958190918,895,0
Simulated Annealing,10,0.017119169235229492,841,0
Simulated Annealing,10,0.01174306869506836,707,0
Simulated Annealing,10,0.012268543243408203,751,0
Simulated Annealing,10,0.023349761962890625,1420,0
Simulated Annealing,10,0.01868438720703125,1146,0
Simulated Annealing,10,0.01445913314819336,869,0
